Smooth: False
name;tag;layer;x;y;z;rotX;rotY;rotZ;waypointType;speed;acceleration;jerk;causeToYield;lookAtPlayerWhileYielding;lookAtPlayerAfterYielding;yieldTime;brakingAcceleration;lookAtPedFromSeconds;lookAtPedToSeconds;collider_enabled;isTrigger;centerX;centerY;centerZ;sizeX;sizeY;sizeZ
Waypoint 016;WP;5;-107.59;0;135.09;0;225;0;1;30;1;5;False;False;False;0;-20;0;0;True;True;0;1;0;4.25;4;0
Waypoint 017;WP;5;-112.8;0;125.1;0;180;0;1;30;1;5;False;False;False;0;-20;0;0;True;True;0;1;0;4.25;4;0
Waypoint 018;WP;5;-112.8;0;96.7;0;180;0;1;10;-2;-5;False;False;False;0;-20;0;0;True;True;0;1;0;4.25;4;0
Waypoint 019;WP;5;-112.8;0;84.4;0;180;0;1;1;-2;-5;False;False;False;0;-20;0;0;True;True;0;1;0;4.25;4;0
Waypoint 020;WP;5;-112.8;0;80.57;0;180;0;1;30;2;5;False;False;False;0;-20;0;0;True;True;0;1;0;4.25;4;0
Waypoint 021;WP;5;-112.38;0;24.1;0;180;0;1;15;-2;-5;False;False;False;0;-20;0;0;True;True;0;1;0;4.25;4;0
Waypoint 022;WP;5;-112.08;0;14.73;0;180;0;1;30;2;5;False;False;False;0;-20;0;0;False;True;0;1;0;4.25;4;0
Waypoint 023;WP;5;-117.18;0;10.33;0;270;0;1;30;2;5;False;False;False;0;-20;0;0;False;True;0;1;0;4.25;4;0
Waypoint 024;WP;5;-214.92;0;10.17;0;270;0;1;1;-3;-5;False;False;False;0;-20;0;0;True;True;0;1;0;4.25;4;0
Waypoint 025;WP;5;-224.4;0;10;0;270;0;1;15;2;5;False;False;False;0;-20;0;0;True;True;0;1;0;4.25;4;0
Waypoint 026;WP;5;-225.3;0;10;0;270;0;1;15;2;5;False;False;False;0;-20;0;0;False;True;0;1;0;4.25;4;0
Waypoint 027;WP;5;-232.2;0;2.75;0;180;0;1;30;2;5;False;False;False;0;-20;0;0;True;True;0;1;0;4.25;4;0
Waypoint 028;WP;5;-232.5;0;-37.6;0;175;0;1;20;-2;-5;False;False;False;0;-20;0;0;True;True;0;1;0;4.25;4;0
Waypoint 029;WP;5;-231.45;0;-46.56001;0;175;0;1;20;-2;-5;False;False;False;0;-20;0;0;True;True;0;1;0;4.25;4;0
Waypoint 030;WP;5;-230.9;0;-49.59;0;165;0;1;5;-2;-6;False;False;False;0;-20;0;0;False;True;0;1;0;4.25;4;0
Waypoint 031;WP;5;-229.33;0;-54.59;0;165;0;1;5;-2;-6;False;False;False;0;-20;0;0;False;True;0;1;0;4.25;4;0
Waypoint 032;WP;5;-227.96;0;-58.48;0;155;0;1;5;-2;-6;False;False;False;0;-20;0;0;False;True;0;1;0;4.25;4;0
Waypoint 033;WP;5;-226;0;-62.38;0;150;0;1;10;-2;-6;False;False;False;0;-20;0;0;False;True;0;1;0;4.25;4;0
Waypoint 034;WP;5;-223.18;0;-66.67;0;150;0;1;10;-2;-6;False;False;False;0;-20;0;0;False;True;0;1;0;4.25;4;0
Waypoint 035;WP;5;-220.09;0;-70.79;0;140;0;1;10;-2;-6;False;False;False;0;-20;0;0;False;True;0;1;0;4.25;4;0
Waypoint 036;WP;5;-216.7;0;-75.1;0;130;0;1;20;2;5;False;False;False;0;-20;0;0;False;True;0;1;0;4.25;4;0
Waypoint 037;WP;5;-210.71;0;-79.99;0;130;0;1;20;2;5;False;False;False;0;-20;0;0;False;True;0;1;0;4.25;4;0
Waypoint 038;WP;5;-205.63;0;-83.16;0;130;0;1;20;2;5;False;False;False;0;-20;0;0;False;True;0;1;0;4.25;4;0
Waypoint 039;WP;5;-199.8;0;-86.30001;0;110;0;1;25;-1;-2;False;False;False;0;-2;0;0;True;True;0;1;0;4.25;4;0
Waypoint 040;WP;5;-187.8;0;-89.49999;0;99.99999;0;1;25;-1;-2;False;False;False;0;-2;0;0;True;True;0;1;0;4.25;4;0
Waypoint 041;WP;5;-180.7;0;-90.6;0;90;0;1;30;-1;-2;False;False;False;0;-2;0;0;True;True;0;1;0;4.25;4;0
Waypoint 042;WP;5;-139.1;0;-90.6;0;90;0;1;1;-3;-6;False;False;False;0;-2;0;0;True;True;0;1;0;4.25;4;0
Waypoint 043;WP;5;-133.9;0;-90.6;0;90;0;1;30;1;5;False;False;False;0;-2;0;0;True;True;0;1;0;4.25;4;0
Waypoint 044;WP;5;1.7;0;-90.9;0;90;0;1;30;2;5;False;False;False;0;-20;0;0;True;True;0;1;0;4.25;4;0
Waypoint 045;WP;5;7.5;0;-88.9;0;45;0;1;30;2;5;False;False;False;0;-20;0;0;True;True;0;1;0;4.25;4;0
